"modalite","OR","IC_bas","IC_haut","p"
"Constante",10.328,5.338,19.983,8.98e-12
"Rural",0.881,0.694,1.118,0.297
"Batha",1.487,0.842,2.624,0.171
"Borkou",3.922,1.664,9.244,0.00183
"Chari-Baguirmi",0.744,0.441,1.254,0.266
"Guéra",1.803,0.97,3.353,0.0623
"Hadjer-Lamis",0.803,0.49,1.317,0.385
"Kanem",1.265,0.691,2.315,0.445
"Lac",1.061,0.615,1.829,0.832
"Logone Occidental",0.829,0.515,1.333,0.437
"Logone Oriental",1.013,0.634,1.617,0.958
"Mandoul",1.072,0.616,1.866,0.806
"Mayo-Kebbi Est",1.248,0.678,2.297,0.475
"Mayo-Kebbi Ouest",1.473,0.77,2.818,0.241
"Moyen-Chari",1.346,0.78,2.322,0.285
"Ouaddaï",1.339,0.681,2.633,0.397
"Salamat",1.67,0.946,2.945,0.0767
"Tandjilé",1.002,0.61,1.644,0.995
"Wadi Fira",2.409,1.081,5.372,0.0317
"Barh-el-Gazel",1.572,0.907,2.722,0.107
"Ennedi Ouest",2.096,1.054,4.168,0.0348
"Sila",1.92,1.113,3.31,0.0191
"Ennedi Est",1.516,0.56,4.1,0.412
"Mère : primaire",0.933,0.788,1.105,0.42
"Mère : secondaire ou +",1.263,0.997,1.601,0.053
"Bien-être : second",0.795,0.642,0.984,0.0347
"Bien-être : moyen",0.718,0.588,0.876,0.00115
"Bien-être : quatrieme",0.806,0.661,0.983,0.033
"Bien-être : le plus riche",0.971,0.757,1.246,0.818
"Animiste",0.561,0.293,1.076,0.0819
"Catholique",0.802,0.564,1.142,0.221
"Protestant",1.008,0.678,1.498,0.97
"Sans religion",1.007,0.615,1.649,0.978
"Autre religion",3.283,0.995,10.833,0.051
"Ethnie : Gorane",1.577,0.938,2.651,0.0859
"Ethnie : Arabe",1.595,1.103,2.305,0.0131
"Ethnie : Baguirmi",1.113,0.525,2.359,0.78
"Ethnie : Kanembou",1.676,1.065,2.636,0.0256
"Ethnie : Boulala",1.073,0.655,1.759,0.78
"Ethnie : Ouaddaï",1.262,0.788,2.022,0.333
"Ethnie : Zaghawa",4.344,1.592,11.853,0.00419
"Ethnie : Dadjo",0.963,0.589,1.575,0.882
"Ethnie : Bidio",1.188,0.753,1.875,0.458
"Ethnie : Moundang",1.326,0.76,2.316,0.32
"Ethnie : Massa",1.043,0.657,1.654,0.859
"Ethnie : Toupouri",1.189,0.71,1.993,0.51
"Ethnie : Peul",1.566,0.756,3.243,0.227
"Ethnie : Tama",2.841,1.066,7.574,0.0369
"Ethnie : Gabri",0.952,0.471,1.922,0.89
"Ethnie : Marba",1.121,0.797,1.577,0.511
"Ethnie : Mesmedje",0.933,0.454,1.92,0.851
"Ethnie : Karo",1.056,0.543,2.052,0.873
"Ethnie : autres",1.447,0.884,2.368,0.141
"Ethnie : manquant",0.501,0.221,1.133,0.0969
"Fille",1.182,1.065,1.312,0.0017
"Rang 1",1.491,1.144,1.942,0.00316
"Rang 2-3, interv. court",0.891,0.736,1.079,0.237
"Rang 2-3, interv. long",1.714,1.41,2.082,7.91e-08
"Rang 4+, interv. court",0.586,0.464,0.741,9.32e-06
"Parité-interv. : autre",2.595,1.93,3.488,4.51e-10
"Mère : 20-34 ans",1.165,0.963,1.411,0.117
"Mère : 35-49 ans",1.196,0.909,1.573,0.202
"Naissance multiple",0.264,0.205,0.34,2.79e-23
"Âge : 12-23 mois",0.7,0.569,0.861,0.000764
"Âge : 24-35 mois",0.474,0.385,0.583,3.75e-12
"Âge : 36-47 mois",0.456,0.372,0.557,6.46e-14
"Âge : 48-59 mois",0.468,0.381,0.575,1.21e-12
